metric,name,interpretation,first,last,delta,best_min,best_max,mean,steps_logged
chaos/incidents_started,Chaos Incidents Started,Context only,1.0,1.0,0.0,1.0,2.0,1.239795918367347,196
eval/mean_ep_length,eval/mean_ep_length,Context only,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,60
eval/mean_reward,eval/mean_reward,Context only,-188356.265625,-187126.1875,1230.078125,-188586.390625,-183959.65625,-186342.85130208332,60
reward/co2,reward/co2,Context only,-0.5663802027702332,-0.9286324977874756,-0.36225229501724243,-1.1160969734191895,-0.24102774262428284,-0.7175865965188989,207
reward/collisions,reward/collisions,Context only,0.0,0.0,0.0,0.0,0.0,0.0,207
reward/delta_queue,reward/delta_queue,Context only,-0.03999999910593033,0.10999999940395355,0.14999999850988388,-0.4300000071525574,0.3799999952316284,0.0011594198320222938,207
reward/delta_wait,reward/delta_wait,Context only,0.004333333112299442,0.4386666715145111,0.43433333840221167,-0.7863333225250244,0.47200000286102295,-0.0858421896568585,207
reward/emergency_stops,reward/emergency_stops,Context only,0.0,0.0,0.0,0.0,0.0,0.0,207
reward/gridlock,Gridlock Penalty,Closer to 0 is better,0.0,-0.019999999552965164,-0.019999999552965164,-0.25,0.0,-0.019323671344613682,207
reward/long_green,reward/long_green,Context only,0.0,0.0,0.0,-0.0024999999441206455,0.0,-1.2077294416041766e-05,207
reward/phase_change,reward/phase_change,Context only,-0.007499999832361937,0.0,0.007499999832361937,-0.009999999776482582,0.0,-0.0030555554872585666,207
reward/pressure,reward/pressure,Context only,-0.3465000092983246,-0.6060000061988831,-0.25949999690055847,-0.7705000042915344,-0.13850000500679016,-0.45587439734290763,207
reward/queue,reward/queue,Context only,-0.6012499928474426,-1.1425000429153442,-0.5412500500679016,-1.4987499713897705,-0.22374999523162842,-0.8554770531861678,207
reward/raw_arrived,reward/raw_arrived,Context only,0.4000000059604645,0.6000000238418579,0.20000001788139343,0.10000000149011612,0.8999999761581421,0.4130434808163827,207
reward/raw_avg_speed,Average Speed,Higher is better,3.460005760192871,2.1646034717559814,-1.2954022884368896,1.3521920442581177,5.898278713226318,2.7036731646256746,207
reward/raw_co2,reward/raw_co2,Context only,70797.5234375,116079.0625,45281.5390625,30128.46875,140911.8125,89848.55123414854,207
reward/raw_collisions,Collisions,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,207
reward/raw_emergency_stops,Emergency Stops,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,207
reward/raw_fairness_debt,reward/raw_fairness_debt,Context only,1.7929166555404663,3.179527759552002,1.3866111040115356,0.8177222013473511,4.0,2.6368602750381984,207
reward/raw_flow_gate,reward/raw_flow_gate,Context only,0.5831249952316284,0.13152499496936798,-0.45160000026226044,0.0,0.81045001745224,0.31745869648341396,207
reward/raw_gridlock_seconds,Gridlock Seconds,Lower is better,0.0,0.4000000059604645,0.4000000059604645,0.0,5.0,0.3864734331190874,207
reward/raw_hard_fairness_debt,reward/raw_hard_fairness_debt,Context only,0.4000000059604645,0.8500000238418579,0.45000001788139343,0.15000000596046448,1.0,0.6664251197075498,207
reward/raw_phase_change_penalty,reward/raw_phase_change_penalty,Context only,0.15000000596046448,0.0,-0.15000000596046448,0.0,0.20000000298023224,0.061111112327679344,207
reward/raw_phase_changed,reward/raw_phase_changed,Context only,0.25,0.05000000074505806,-0.19999999925494194,0.05000000074505806,0.44999998807907104,0.20314009950140824,207
reward/raw_phase_hold_seconds,reward/raw_phase_hold_seconds,Context only,6.800000190734863,9.199999809265137,2.3999996185302734,4.800000190734863,13.0,8.548792274677812,207
reward/raw_pressure,reward/raw_pressure,Context only,-34.650001525878906,-60.599998474121094,-25.949996948242188,-77.05000305175781,-13.449999809265137,-45.48840576669444,207
reward/raw_previous_phase_hold_seconds,reward/raw_previous_phase_hold_seconds,Context only,11.800000190734863,10.0,-1.8000001907348633,9.0,18.799999237060547,12.571980679092777,207
reward/raw_queue,Queued Vehicles,Lower is better,24.049999237060547,45.70000076293945,21.650001525878906,8.949999809265137,59.95000076293945,34.219082270267506,207
reward/raw_short_phase_excess,reward/raw_short_phase_excess,Context only,1.2000000476837158,0.0,-1.2000000476837158,0.0,1.7999999523162842,0.478260876763846,207
reward/raw_starvation_excess,reward/raw_starvation_excess,Context only,1930.0,6197.60009765625,4267.60009765625,730.2000122070312,10670.7001953125,3800.2874466900666,207
reward/raw_starvation_penalty,reward/raw_starvation_penalty,Context only,1.2000000476837158,2.116121530532837,0.9161214828491211,0.27612730860710144,2.9781956672668457,1.7387094812980597,207
reward/raw_starved_lanes,reward/raw_starved_lanes,Context only,2.1500000953674316,4.199999809265137,2.049999713897705,0.5,5.099999904632568,3.0309178650667126,207
reward/raw_stopped_ratio,Stopped Vehicle Ratio,Lower is better,0.47271275520324707,0.6158004999160767,0.1430877447128296,0.3595084249973297,0.7162891626358032,0.5874243686740525,207
reward/raw_tail_wait_excess,reward/raw_tail_wait_excess,Context only,1774.699951171875,5433.4501953125,3658.750244140625,647.9000244140625,8934.7001953125,3364.1855153254264,207
reward/raw_tail_wait_mean,reward/raw_tail_wait_mean,Context only,642.4166870117188,1890.4000244140625,1247.9833374023438,247.9499969482422,3051.449951171875,1187.048794142866,207
reward/raw_tail_wait_penalty,reward/raw_tail_wait_penalty,Context only,1.2000000476837158,2.1615147590637207,0.9615147113800049,0.3121604919433594,2.981787919998169,1.76581906552476,207
reward/raw_total_wait,Total Waiting Time,Lower is better,2272.800048828125,6809.7001953125,4536.900146484375,918.3499755859375,11331.400390625,4276.472454568614,207
reward/raw_worst_lane_wait,Worst-Lane Waiting Time,Lower is better,970.4500122070312,2702.89990234375,1732.4498901367188,361.70001220703125,4787.4501953125,1874.635748969184,207
reward/reward_total,Step Reward,Higher is better,-22.851863861083984,-41.008907318115234,-18.15704345703125,-55.28828811645508,-6.195639133453369,-33.19886334046073,207
reward/short_phase,reward/short_phase,Context only,-0.05999999865889549,0.0,0.05999999865889549,-0.09000000357627869,0.0,-0.023913043177718127,207
reward/speed,reward/speed,Context only,0.283916175365448,0.0668383538722992,-0.2170778214931488,0.0,0.5397602319717407,0.1470001880529422,207
reward/starvation,reward/starvation,Context only,-8.399999618530273,-14.812850952148438,-6.412851333618164,-20.847370147705078,-1.9328912496566772,-12.170966341299712,207
reward/starved_lanes,reward/starved_lanes,Context only,-1.6124999523162842,-3.1500000953674316,-1.5375001430511475,-3.825000047683716,-0.375,-2.2693840582013705,207
reward/tail_wait,reward/tail_wait,Context only,-6.0,-10.807573318481445,-4.807573318481445,-14.908939361572266,-1.5608024597167969,-8.829095319849282,207
reward/throughput,Throughput Reward,Higher is better,0.016249999403953552,0.02649562433362007,0.01024562492966652,0.0,0.08124999701976776,0.01792614381076489,207
reward/wait,reward/wait,Context only,-1.1363999843597412,-2.6583499908447266,-1.5219500064849854,-3.012049913406372,-0.31527501344680786,-1.6820234284884688,207
reward/worst_lane,reward/worst_lane,Context only,-4.385833263397217,-7.525000095367432,-3.139166831970215,-9.641666412353516,-1.596666693687439,-6.252395341361779,207
rollout/ep_len_mean,rollout/ep_len_mean,Context only,3600.0,7740.0,4140.0,3600.0,9720.0,7260.1554768880205,144
rollout/ep_rew_mean,Episode Reward Mean,Higher is better,-105205.5234375,-270290.96875,-165085.4453125,-338566.03125,-105205.5234375,-241860.5005967882,144
safety/actual_phase_switches,safety/actual_phase_switches,Context only,5.0,7.0,2.0,1.0,10.0,4.85024154589372,207
safety/adaptive_cadence_releases,safety/adaptive_cadence_releases,Context only,1.0,7.0,6.0,1.0,10.0,3.917874396135266,207
